Site name,Headline,Summary,Link
NDTV,Will Work With Centre On National Security: Arvind Kejriwal's Punjab Pitch,"Amritsar: Aam Aadmi Party (AAP) convener Arvind Kejriwal said the party will work with the centre on issues of national security if it is voted to power in the upcoming Punjab election.Raking up the row surrounding the breach in Prime Minister Narendra Modi's security during his visit to Punjab last month, the Delhi Chief Minister sought to target the Charanjit Singh Channi-led government in Punjab.Stressing that the AAP never compromises on national security issue, he told the media in Amritsar today, ""If voted to power in Punjab, will work together with the Centre on the issue of security in Punjab and the country.""On the PM security breach issue, he said, ""There should be no politics on the issue of security of PM but politics was done from both sides.""The AAP is the main challenger to the ruling Congress in Punjab and the poll campaign has seen Mr Kejriwal and Chief Minister Channi trade barbs on several issues, ranging from allegations of corruption to remarks dismissing each other's claims of being the ""aam aadmi"".The AAP leader's remarks come against the backdrop of the heated exchange between the centre and Punjab over the security breach issue.During his visit to Punjab on January 5, the Prime Minister's convoy had to be stopped for about 20 minutes on a flyover in Bathinda as the road was blocked by protesting farmers.The Prime Minister eventually cut short his visit and returned to Delhi. What followed was a scathing criticism of the Punjab government by the centre and the BJP, with the party fielding top ministers and leaders to lead its charge.Blaming the Charanjit Singh Channi government, Union minister and BJP leader Smriti Irani accused the Congress of ""a murderous conspiracy to kill the PM"".The Congress hit back, saying the Prime Minister's travel plans were tweaked at the last moment. The party also accused the BJP of raking up the security lapse to cover up the embarrassment of thin crowds at a rally to be addressed by the Prime Minister.Chief Minister Channi has stressed that there was no danger to the Prime Minister and said he was ready to die to protect the Prime Minister.PromotedListen to the latest songs, only on JioSaavn.comThe matter came to Supreme Court after a PIL was filed and the war of words between the centre and the state continued there. The court has now appointed a 5-member committee to investigate the issue.",https://www.ndtv.com/india-news/will-work-with-centre-on-national-security-arvind-kejriwals-punjab-pitch-2767037
NDTV,"""Nation Indebted"": Home Minister Amit Shah Pays Homage To Pulwama Soldiers","Pulwama Attack: Home Minister Amit Shah paid homage to Central Reserve Police Force personnel.New Delhi: Union Home Minister Amit Shah on Monday paid tribute to Central Reserve Police Force (CRPF) jawans killed in the 2019 Pulwama terror attack.""Heartfelt tribute to the brave jawans of @crpfindia who upheld the sovereignty of the country by making their supreme sacrifice in the cowardly terrorist attack of Pulwama. The nation will always be indebted to your sacrifice. Your bravery will continue to inspire us to root out terrorism,"" Mr Shah tweeted from its official account in Hindi.पुलवामा के कायरतापूर्ण आतंकी हमले में अपना सर्वोच्च बलिदान देकर देश की संप्रभुता को अक्षुण्ण रखने वाले @crpfindia के बहादुर जवानों को भावपूर्ण श्रद्धांजलि देता हूँ।देश आपके बलिदान का सदैव ऋणी रहेगा।आपकी वीरता हमें आतंकवाद को जड़ से समाप्त करने हेतु निरंतर प्रेरित करती रहेगी।— Amit Shah (@AmitShah) February 14, 2022Meanwhile, tribute is being paid to CRPF personnel in Jammu and Kashmir's Lethpora.""We remember the 40 CRPF jawans who lost their lives in the Pulwama terror attack in 2019. We aim to maintain peace and harmony in the region,"" DS Chaudhary, Additional Director General (ADG), CRPF said.The attack on the CRPF convoy took place in Jammu and Kashmir's Pulwama district on February 14, 2019 in which 40 personnel were killed.PromotedListen to the latest songs, only on JioSaavn.comA suicide bomber had rammed an explosive-laden vehicle into the bus. The convoy had 78 buses in which around 2,500 personnel were travelling from Jammu to Srinagar.Days after the attack, the Indian Air Force on February 26 carried out multiple aerial strikes at JeM terror camps in Pakistan's Balakot, killing a ""large number"" of terrorists and destroying their infrastructure.",https://www.ndtv.com/india-news/pulwama-terror-attack-nation-indebted-home-minister-amit-shah-pays-homage-to-pulwama-soldiers-2767004
NDTV,Trinamool On Course For Big Win In 4 Civic Body Elections In Bengal,"Mamata Banerjee thanked people for her party's ""thumping win"" in the civic polls (File)Kolkata: Trinamool Congress on Monday was ahead in all the four municipal corporations in West Bengal where polls were held on February 12, as per data available on the State Election Commission's website. In Bidhannagar, the Trinamool Congress won 24 of the 41 seats and was ahead in 10, while the Congress won in one ward, according to the SEC website at 11 am.The ruling party clinched 10 of the 47 seats in Siliguri and was leading in three wards, and both the BJP and the CPI(M) have won two seats each.PromotedListen to the latest songs, only on JioSaavn.comIn Chandannagar, the Trinamool Congress bagged 12 out of 32 seats and was ahead in nine, while the CPI(M) won in one ward. The Trinamool Congress pocketed 28 of 106 seats in Asansol and was leading in seven wards, the data showed, adding, the BJP emerged triumphant in three wards and the CPI(M) in two.Meanwhile, Chief Minister Mamata Banerjee thanked people for her party's ""thumping win"" in the civic polls, calling it a victory of the masses.",https://www.ndtv.com/india-news/trinamool-congress-on-course-for-big-win-in-4-civic-body-elections-in-west-bengal-2766997
NDTV,Both Siblings Will End Congress. Don't Bother: Yogi Adityanath's Dig,"UP Elections: Yogi Adityanath is contesting his first Assembly election (File)Lucknow: Uttar Pradesh Chief Minister Yogi Adityanath took a swipe at Congress leaders Rahul Gandhi and Priyanka Gandhi Vadra Monday - amid voting for the second phase of polls - declaring the brother-sister duo ""are enough"" to bring down their party and that the GOP ""should be left to its fate"".""I went to Uttarakhand (to campaign for today's single-phase poll) and said... No one else needs to work on ending Congress... both siblings will do that themselves. I appealed to people... don't make Congress a burden on the people of Uttarakhand,"" Adityanath told news agency ANI.Earlier, while campaigning in Uttarakhand's Pauri Garhwal, he had said: ""Where there is little existence brother and sister are enough to push it down. So it should be left to its fate.""Adityanath also alleged conflict between Ms Gandhi Vadra, who has been at the forefront of the Congress' UP campaign and was, briefly, rumoured to be the chief ministerial face, and her brother.Ms Gandhi Vadra later batted the claim away with a smile, saying: ""... conflict is in Yogiji's mind... owing to the rift in the BJP (between Adityanath, Prime Minister Narendra Modi and Home Minister Amit Shah)"" and that ""I can give my life for my brother"".A five-time Lok Sabha MP contesting his first state election, Yogi Adityanath has been busy making outrageous remarks as the BJP bids to return to power in UP and Uttarakhand.Speaking to ANI Monday, the Chief Minister repeated the ""80 vs 20"" remark he made last month, but then claimed he did not make the comment in the context of religion.Last month, when Adityanath said ""the fight is now 80 versus 20"", it was seen as implying a Hindu-Muslim divide in Uttar Pradesh, where the population corresponds roughly to that ratio.Before that Adityanath repeatedly used ""abba jaan"" or ""people who say abba jaan"" in what was seen as a barb against Muslims and his predecessor Akhilesh Yadav, the Samajwadi Party chief.And yesterday, a day before voting, he referred to ""religious fanatics with Talibani mindset"" who dream of ""Ghazwa-e-Hind"" (holy conquest of India) - a term used by Pak-based radical Islamists.Uttar Pradesh is voting for a new government in a seven-phase election that began February 10, with 55 constituencies across nine districts, including those in eight sensitive areas with sizeable Muslim populations - polling today.PromotedListen to the latest songs, only on JioSaavn.comUttarakhand and Goa, both also BJP-ruled states, are also voting today.Results for all states will be declared on March 10.",https://www.ndtv.com/elections-news/up-assembly-election-brother-sister-enough-to-push-it-down-yogis-swipe-at-congress-2766972
NDTV,"""You Are Our Valentine If..."": Mumbai Police's Choose ""Your Type"" Tweet","Valentine's Day: Commissioner of Police, Mumbai's posted a funny tweet on Valentine's day.Policing is a serious job, and the common man doesn't normally associate fun and humour with it. But Mumbai Police has proved time and again how humour can go a long way in law enforcement. Witty, hilarious and often sarcastic, their social media posts are always on point when it comes to relaying hard-hitting messages and cracking you up at the same time. And on Valentine's Day, the Twitter handle of the Commissioner of Police, Mumbai Police, posted a seven-second animated clip that plays some golden rules of being a good citizen and staying safe, in every sense of the term.The clip says, “You are our valentine if…” and the options appear one by one, in quick succession. They go from “wear mask”, “are double vaccinated”, “wear a helmet while riding”, “don't share your OTP”, “drive with valid licence”, “don't drink and drive” and “have a strong password”. The post is captioned, “If you want to feel safe, find a valentine like this. Screenshot to find out your valentine”.If you want to feel safe, find a valentine like this.Screenshot to find out your valentine. #ValentinesDay2022#ValentinesDaypic.twitter.com/PTTICbJCUp— CP Mumbai Police (@CPMumbaiPolice) February 14, 2022No one can match the Mumbai Police when it comes to ingenuity in raising awareness on various issues. Last year, during the second wave of the COVID-19 pandemic, on quite a few occasions, the Mumbai Police used fun and quirky messages on social media to reach out to people to spread information and awareness.On one occasion, they gave a musical twist to their social media posts while urging residents of Mumbai to stay at home. They asked people to keep themselves entertained by listening to popular songs from Lady Gaga, One Direction, BTS and John Legend.In the second instance, they asked a person to stay at home in a unique through a post on Twitter. It all began with a user asking the police, “Sir, my name is Sunny. Can I go outside?” The response was epic. “Sir, if you are truly that star at the centre of the solar system, around which Earth and the other components of solar system revolve, we hope you realise the responsibility you are shouldering. Don't compromise it by exposing yourself to the virus please,” wrote the Mumbai Police.PromotedListen to the latest songs, only on JioSaavn.comThe Mumbai Police used wit and humour in another ingenuous post last year to emphasise the need of staying at home to stem the rise of COVID-19 cases. The message with the caption, “Kyunki Har Message Ka Reply Dena Zaruri Nahin Hota Hai!” (Not every message necessitates a response!), showed a screen displaying realistic mocks of WhatsApp conversations.From following road safety rules to COVID-19 related norms, the Mumbai Police surely does know how to hammer home vital messages on its various social media platforms.",https://www.ndtv.com/india-news/mumbai-police-mumbai-police-tweet-mumbai-police-valentine-tweet-you-are-our-valentine-if-mumbai-polices-choose-your-type-tweet-2766909
NDTV,PM Modi Pays Tribute To CRPF Soldiers Killed In Pulwama Terror Attack,"Pulwama Attack:PM Narendra Modi paid homage to Central Reserve Police Force personnel.New Delhi: Prime Minister Narendra Modi on Monday paid homage to the Central Reserve Police Force (CRPF) personnel who lost their lives in a terrorist attack on their convoy in Pulwama in 2019, and said their bravery and supreme sacrifice motivate every Indian to work towards a strong and prosperous country.In the attack by Pakistan-sponsored terrorists in the south Kashmir district, 40 CRPF personnel made the supreme sacrifice.In a retaliatory strike, the Indian Air Force had carried out an airstrike in Pakistan's Balakot on February 26, 2019, targeting terrorist camps.PromotedListen to the latest songs, only on JioSaavn.comI pay homage to all those martyred in Pulwama on this day in 2019 and recall their outstanding service to our nation. Their bravery and supreme sacrifice motivates every Indian to work towards a strong and prosperous country.— Narendra Modi (@narendramodi) February 14, 2022PM Modi tweeted, ""I pay homage to all those martyred in Pulwama on this day in 2019 and recall their outstanding service to our nation. Their bravery and supreme sacrifice motivates every Indian to work towards a strong and prosperous country.""",https://www.ndtv.com/india-news/pulwama-attack-pm-modi-pays-tribute-to-crpf-soldiers-killed-in-pulwama-terror-attack-2766967
NDTV,Court Sets Aside Order Deferring Kerala's New Rail Project's Survey,"Silver Line: The project will reduce travel time from Thiruvananthapuram to Kasaragod. (Representational)Kochi: The Kerala High Court on Monday allowed the state government's appeals and set aside a single judge order deferring a survey in connection with the SilverLine project.A bench of Chief Justice S Manikumar and Justice Shaji P Chaly set aside the single judge's January 20 order deferring the survey till February 7.The single judge, thereafter, on February 7 had further deferred the survey till February 18.The single judge's orders had come on several pleas, some of which have opposed the survey being conducted and the others were against the laying of concrete poles to identify land meant for the SIA study.In response to the state's appeals against the January 20 order, the Centre had filed a statement in which it had said that it was ""advisable"" that land acquisition proceedings for the project be stopped at this stage as its financial viability was ""questionable"" and feasibility of the present track alignment has not been agreed to by the Railway Ministry.The Kerala government's ambitious SilverLine project, which is expected to reduce travel time from Thiruvananthapuram to Kasaragod to around four hours, is being opposed by the opposition Congress-led UDF, which has been alleging that it was ""unscientific and impractical"" and will put a huge financial burden on the state.PromotedListen to the latest songs, only on JioSaavn.comThe 530 kilometre stretch from Thiruvananthapuram to Kasaragod would be developed by K-Rail -- a joint venture of the Kerala government and the Railway Ministry for developing railway infrastructure in the southern state.Starting from the state capital, SilverLine trains will have stoppages at Kollam, Chengannur, Kottayam, Ernakulam, Thrissur, Tirur, Kozhikode and Kannur before reaching Kasaragod.",https://www.ndtv.com/india-news/silverline-project-court-sets-aside-order-deferring-keralas-new-rail-projects-survey-2766955
NDTV,"India To Run By Constitution, Not Islamic Law: Yogi Adityanath As UP Votes","UP Chief Minister Yogi Adityanath also spoke on the Karnataka hijab row. FileNew Delhi: The New India will function according to the Constitution, not the Shariat law, and the dream of ""Ghazva-e-Hind (ultimate conquest of India)"" will never come true, Uttar Pradesh Chief Minister Yogi Adityanath said in comments that emerged today as round 2 of seven-phase voting in the state took place. Yogi Adityanath also claimed in the interview that his ""80 versus 20"" comment was meant to differentiate between ""those who back progress and those who oppose everything"".""I can say with utter clarity that this is new India, this is the India of world's most popular leader Prime Minister Narendra Modi. In this new India, development is for all and there will be appeasement of none,"" Yogi Adityanath told news agency ANI in an interview.""The new India will work according to the Constitution, and not the Shariat. I also want to say it clearly that the dream of Ghazva-e-Hind will not be fulfilled even till the Qayamat (end of the world),"" he said.Yogi Adityanath repeated his comments in a series of posts this morning. ""Those who dream of Gazva-e-Hind, religious fanatics of Talibani thinking, understand this... India will run according to the constitution, not according to Shariat...!"" he posted.The saffron-wearing Chief Minister also spoke on the massive row in Karnataka over hijab restrictions in colleges. ""I strongly believe that the system should run as per the Indian Constitution. We cannot impose our personal beliefs, our fundamental rights, our personal likes and dislikes on the country or institutions,"" he told ANI.""Am I asking the people and workers in UP to wear saffron? What they want to wear is their choice. But in schools, there should be a dress code. This is the matter of schools and the discipline in schools,"" he said.One's personal belief is separate, ""but when one talks about institutions, then one has to accept the rules there"", he said. In a national context, he added, the constitution should be followed.""The Chief Minister sought to clarify his ""80 versus 20"" comment that was seen to refer to a Hindu-Muslim divide in votes.The elections, he said, are a fight between 80 versus 20, where 80 per cent are ""those who back progress"" while 20 per cent people ""oppose everything"" and have a negative attitude.""80 per cent are those people who are happy with the state government's agenda of security, who appreciate the public welfare schemes of the state government. Those who like development. Those who got a chance to get their work (at government offices) done in an honest and transparent way,"" he said.""20 per cent are those people who always oppose everything. They opposed everything before and will continue doing so now. They have negative thinking. They back money and crime and will remain so. This is how this election is that of 80 versus 20,"" he said.Yogi Adityanath also reacted to AIMIM chief and Hyderabad MP Asaduddin Owaisi's comment that wearing the hijab is a fundamental right and that one day a hijab-wearing girl will become Prime Minister.""It is for the freedom and rights of that every girl (daughter of India) that PM Modi put a stop on the malpractice of Triple Talak. It is for ensuring justice and honour and empowerment of the girl that these decisions are being taken. We can only say that the system will not work as per the Shariat, but will work as per the Constitution. When the system will work according to the constitution, every girl will be protected, honoured and become self-reliant,"" the Chief Minister said.Yogi Adityanath defended his comment at the start of the UP election, ""warning"" voters to choose wisely and vote BJP lest the state turned into a West Bengal or Kerala.""These people are coming from Bengal and spreading anarchy here. For this, it was necessary to alert people against it saying that 'be alert - the security, respect that you are getting, people have come to disrupt that and do not let that happen'. It was my responsibility to alert people,"" he said.The comments comes days after Bengal Chief Minister Mamata Banerjee visited UP to campaign for Samajwadi Party chief Akhilesh Yadav, who is seen to be the strongest challenger to the Yogi Adityanath-led BJP in UP.The Chief Minister ripped into Akhilesh Yadav, accusing him of corruption and lawlessness. He said when Akhilesh Yadav was in power (2012-2017), he was too busy sleeping and dreaming to focus on proper utilisation of state funds.""Akhilesh ji would not have these figures and he did not even want to keep them because he does not have the time. If he gets time from his friends' circle, sleeping and dreaming, then only will he think about these things. To have this information, he would have to hire a person who would mug up these numbers. He is the son of a big figure. He sleeps 12 hours, spends six hours with his friends' circle, and the rest of the time, he would be busy with other work. Thus, he wouldn't have this information,"" Adityanath said.The Chief Minister also denied that he was targeting Congress leaders Rahul Gandhi and Priyanka Gandhi Vadra and said ""they are enough to drown the Congress"".""To drown the Congress, no one else is needed. The brother and sister duo are there. Why do you want to make Congress a burden there; I only appealed to people,"" Yogi Adiyanath said.PromotedListen to the latest songs, only on JioSaavn.comThe results of the UP election will be declared on March 10.",https://www.ndtv.com/india-news/india-to-run-by-constitution-not-shariat-yogi-adityanath-as-up-votes-2766948
NDTV,Will Continue As Goa's Chief Minister If BJP Wins: Pramod Sawant,"Goa Elections: Voting began at 7 am will conclude at 6 pm in elections in Goa.Panaji: Goa Chief Minister Pramod Sawant on Monday claimed the BJP will win more than 22 seats in the 40-member state Assembly, the polling for which is currently underway, and said he will continue to hold the top post if his party forms government in the coastal state.After casting his vote at a booth in Sankhalim constituency of North Goa district, Sawant also said that Prime Minister Narendra Modi spoke to him in the morning over phone and conveyed his best wishes for the Assembly polls.Voting began at 7 am will conclude at 6 pm in the single-phase elections in the coastal state, where 301 candidates are in the fray for the 40 Assembly seats.“The prime minister called me over phone around 7 am to convey his best wishes to me and all the BJP workers for the polling day, and gave his blessings,” Mr Sawant, who is contesting the election from the Sankhalim Assembly seat, told PTI.Mr Sawant said the PM's call further boosted the morale of the BJP workers to work for the party's victory.The BJP will win more than 22 seats in the state, he claimed.Asked whether he would remain the chief minister if the BJP wins, Sawant said there should be on doubt about it in the wake of announcements made (in this regard) by PM Modi and party national president J P Nadda.“It is obvious that I would be the chief minister as the present election is being fought under my leadership,” he said.PromotedListen to the latest songs, only on JioSaavn.comIn the morning, Governor P S Sridharan Pillai was among the early voters. He cast his vote at a booth in Taleigao Assembly constituency in North Goa district.Till 9 am, the state recorded 11.4 per cent voting, as per the Election Commission.",https://www.ndtv.com/india-news/goa-polls-goa-elections-pramod-sawant-will-continue-as-goas-chief-minister-if-bjp-wins-pramod-sawant-2766938
NDTV,India Bans 54 More Chinese Apps That Threaten Security,"Nearly 300 apps have been blocked in India since border tensions with China. (Representational)New Delhi: India banned 54 Chinese apps that pose threat to the country's security, the ministry of electronics and information technology said today.""These 54 apps allegedly obtain various critical permissions and collects sensitive user data. These collected real-time data are being misused and transmitted to servers located in hostile country,"" the ministry said in a statement.The list of banned apps include - Sweet Selfie HD, Beauty Camera - Selfie Camera, Garena Free Fire - Illuminate, Viva Video Editor, Tencent Xriver, Onmyoji Arena, AppLock and Dual Space Lite.In June last year, India banned 59 Chinese mobile applications including the widely-used social media platforms such as TikTok, WeChat, and Helo citing a threat to the nation's sovereignty and security. The apps were banned under Section 69A of the Information Technology Act, the Ministry of Electronics and Information Technology said.India has blocked 321 apps since border tensions with China in May 2020.The first round of bans was announced in June 2020, days after 20 Indian soldiers were killed in a clash with Chinese troops at Galwan Valley in eastern Ladakh.The eastern Ladakh border standoff between the Indian and Chinese militaries erupted on May 5, 2020, following a violent clash in the Pangong Lake areas and both sides gradually enhanced their deployment by rushing in tens of thousands of soldiers as well as heavy weaponry.PromotedListen to the latest songs, only on JioSaavn.comThe tension had escalated following a deadly clash in the Galwan Valley on June 15 that year.",https://www.ndtv.com/india-news/54-chinese-apps-that-pose-threat-to-indias-security-to-be-banned-government-sources-2766922
